Wall time,Step,Value
1505995080.322199,7,0.328125
1505995080.4551477,8,0.28125
1505995080.9892044,12,0.296875
1505995081.1235752,13,0.359375
1505995081.3909345,15,0.296875
1505995081.5252452,16,0.28125
1505995081.6565983,17,0.28125
1505995081.9225252,19,0.296875
1505995082.057646,20,0.484375
1505995082.1910036,21,0.4375
1505995082.3211226,22,0.546875
1505995082.854781,26,0.671875
1505995084.0546803,35,0.78125
1505995084.1880703,36,0.59375
1505995085.8167315,38,0.8125
1505995086.1614947,41,0.796875
1505995086.2954333,42,0.6875
1505995086.5610955,44,0.546875
1505995086.822834,46,0.71875
1505995086.9566946,47,0.828125
1505995087.223343,49,0.875
1505995087.488685,51,0.734375
1505995087.6240485,52,0.671875
1505995088.0231133,55,0.53125
1505995088.156237,56,0.796875
1505995088.2904532,57,0.8125
1505995088.4223793,58,0.8125
1505995088.5563333,59,0.65625
1505995088.9584985,62,0.765625
1505995089.0904417,63,0.796875
1505995089.3574615,65,0.796875
1505995089.6241567,67,0.78125
1505995089.758366,68,0.5625
1505995089.8901155,69,0.5625
1505995090.0214615,70,0.765625
1505995090.425021,73,0.671875
1505995090.5574138,74,0.828125
1505995090.6925874,75,0.6875
1505995091.8308053,76,0.765625
1505995091.9907794,78,0.75
1505995092.3896012,81,0.71875
1505995093.054999,86,0.703125
1505995093.188594,87,0.75
1505995093.3239496,88,0.765625
1505995093.4595344,89,0.703125
1505995093.5902605,90,0.765625
1505995093.7236793,91,0.78125
1505995094.391259,96,0.640625
1505995095.4580638,104,0.703125
1505995095.8578267,107,0.75
1505995095.9932241,108,0.625
1505995097.9476454,115,0.8125
1505995098.228462,118,0.75
1505995098.491221,120,0.796875
1505995098.6225507,121,0.875
1505995098.7549422,122,0.703125
1505995099.2924702,126,0.796875
1505995099.4233794,127,0.71875
1505995099.555278,128,0.765625
1505995099.9569895,131,0.78125
1505995100.0909193,132,0.8125
1505995100.4920218,135,0.78125
1505995101.0240896,139,0.796875
1505995101.2918496,141,0.796875
1505995101.5566292,143,0.75
1505995101.689565,144,0.78125
1505995101.8239477,145,0.703125
1505995101.956939,146,0.71875
1505995102.2257004,148,0.84375
1505995102.4920297,150,0.71875
1505995103.76241,152,0.8125
1505995104.1162488,155,0.6875
1505995104.1914504,156,0.8125
1505995104.3248696,157,0.734375
1505995104.5894,159,0.78125
1505995104.722791,160,0.734375
1505995104.8581686,161,0.828125
1505995105.2561288,164,0.65625
1505995105.52436,166,0.75
1505995105.6557531,167,0.828125
1505995105.9218795,169,0.71875
1505995106.0562136,170,0.6875
1505995106.4680188,173,0.875
1505995107.1361418,178,0.765625
1505995107.2715354,179,0.671875
1505995107.4059052,180,0.8125
1505995107.6747177,182,0.78125
1505995107.8071427,183,0.75
1505995108.074304,185,0.8125
1505995108.3416388,187,0.6875
1505995108.4750066,188,0.828125
1505995108.6089454,189,0.734375
1505995109.749922,190,0.796875
1505995110.0325365,192,0.734375
1505995110.1660097,193,0.765625
1505995110.991914,200,0.75
1505995111.5238814,204,0.53125
1505995112.0580695,208,0.671875
1505995112.1899397,209,0.78125
1505995112.3227997,210,0.796875
1505995112.8578298,214,0.828125
1505995112.9917247,215,0.734375
1505995113.2649965,217,0.75
1505995113.6651735,220,0.796875
1505995113.799531,221,0.734375
1505995114.1936305,224,0.765625
1505995114.3250446,225,0.875
1505995114.5937078,227,0.671875
1505995115.733021,228,0.78125
1505995115.8810396,229,0.75
1505995116.1454728,231,0.859375
1505995116.2778263,232,0.859375
1505995116.3516343,233,0.8125
1505995116.4278464,234,0.84375
1505995116.5612051,235,0.75
1505995116.6912196,236,0.734375
1505995117.1068435,239,0.8125
1505995117.506954,242,0.65625
1505995118.0410972,246,0.859375
1505995118.1774669,247,0.796875
1505995118.4430485,249,0.84375
1505995118.7074094,251,0.828125
1505995118.8418694,252,0.796875
1505995119.508894,257,0.703125
1505995119.9088962,260,0.765625
1505995120.0397794,261,0.71875
1505995120.1761868,262,0.8125
1505995120.308686,263,0.765625
1505995120.5726306,265,0.75
1505995122.1239767,269,0.6875
1505995122.3909109,271,0.765625
1505995122.5410216,273,0.65625
1505995122.8067577,275,0.734375
1505995123.473464,280,0.859375
1505995123.7412035,282,0.84375
1505995124.2766473,286,0.859375
1505995124.9406953,291,0.8125
1505995125.2084897,293,0.78125
1505995125.3418672,294,0.828125
1505995125.7399678,297,0.921875
1505995126.0086975,299,0.796875
1505995126.141058,300,0.875
1505995126.2724097,301,0.765625
1505995126.5387425,303,0.875
1505995127.6778424,304,0.84375
1505995127.8072379,305,0.84375
1505995128.3396788,309,0.828125
1505995128.473037,310,0.78125
1505995128.6214561,312,0.9375
1505995129.023649,315,0.765625
1505995129.5588384,319,0.75
1505995129.6912534,320,0.828125
1505995129.8261344,321,0.703125
1505995129.956993,322,0.796875
1505995130.2238157,324,0.765625
1505995130.6259189,327,0.8125
1505995130.7603118,328,0.78125
1505995130.894232,329,0.84375
1505995131.290454,332,0.921875
1505995131.4248183,333,0.8125
1505995131.6925821,335,0.796875
1505995132.4919424,341,0.796875
1505995133.7751212,343,0.8125
1505995134.1744838,346,0.796875
1505995134.3078413,347,0.796875
1505995134.5743382,349,0.84375
1505995134.6510477,350,0.59375
1505995135.2577813,355,0.875
1505995135.392842,356,0.84375
1505995135.6567402,358,0.875
1505995135.9254909,360,0.765625
1505995136.0578578,361,0.796875
1505995136.1932318,362,0.8125
1505995136.5909905,365,0.84375
1505995136.7253509,366,0.734375
1505995136.857728,367,0.859375
1505995137.1224408,369,0.78125
1505995137.2583091,370,0.859375
1505995137.5271525,372,0.828125
1505995137.668569,373,0.75
1505995137.9363847,375,0.875
1505995138.2041929,377,0.828125
1505995138.4708745,379,0.765625
1505995139.6105804,380,0.9375
1505995139.757005,381,0.875
1505995140.022313,383,0.8125
1505995140.1571825,384,0.8125
1505995140.5606687,387,0.890625
1505995140.6930254,388,0.75
1505995140.768263,389,0.875
1505995140.8434613,390,0.875
1505995141.1083884,392,0.859375
1505995141.241771,393,0.8125
1505995141.3751416,394,0.796875
1505995141.507493,395,0.84375
1505995142.7073598,404,0.90625
1505995142.8383434,405,0.8125
1505995143.106615,407,0.796875
1505995143.50576,410,0.859375
1505995144.4394608,417,0.890625
1505995145.5815086,418,0.765625
1505995146.1413662,422,0.828125
1505995146.2751958,423,0.84375
1505995146.4086392,424,0.859375
1505995146.6718788,426,0.828125
1505995146.8829072,428,0.75
1505995147.3567605,432,0.875
1505995148.5568998,441,0.90625
1505995148.690844,442,0.890625
1505995148.8272367,443,0.828125
1505995148.9594834,444,0.859375
1505995149.2254083,446,0.921875
1505995149.357377,447,0.828125
1505995149.759069,450,0.90625
1505995150.1577258,453,0.890625
1505995151.9771821,459,0.890625
1505995152.110605,460,0.8125
1505995152.2409508,461,0.90625
1505995152.3753417,462,0.78125
1505995152.5097232,463,0.90625
1505995152.7764452,465,0.921875
1505995152.9058235,466,0.890625
1505995152.9845107,467,0.8125
1505995153.1911592,469,0.84375
1505995153.3245463,470,0.859375
1505995153.4588907,471,0.75
1505995153.7256718,473,0.8125
1505995153.994452,475,0.828125
1505995154.1263626,476,0.875
1505995154.6581051,480,0.890625
1505995155.5926628,487,0.90625
1505995155.9929254,490,0.84375
1505995156.1230302,491,0.84375
1505995156.3893569,493,0.859375
1505995157.6753669,495,0.796875
1505995158.076373,498,0.890625
1505995159.423642,509,0.9375
1505995159.8257692,512,0.859375
1505995159.9571214,513,0.1875
1505995160.0905097,514,0.78125
1505995160.3589544,516,0.890625
1505995160.6247602,518,0.890625
1505995160.7578225,519,0.828125
1505995161.0271442,521,0.765625
1505995161.7070785,526,0.921875
1505995161.840982,527,0.90625
1505995163.6603775,533,0.875
1505995163.924687,535,0.828125
1505995164.0585687,536,0.859375
1505995164.1938753,537,0.875
1505995164.3268068,538,0.875
1505995164.4571548,539,0.8125
1505995164.5903864,540,0.875
1505995164.7243383,541,0.921875
1505995164.8577898,542,0.8125
1505995164.991146,543,0.859375
1505995165.1241004,544,0.828125
1505995165.274521,546,0.78125
1505995165.6762497,549,0.875
1505995165.809978,550,0.875
1505995165.9408903,551,0.890625
1505995166.2097878,553,0.859375
1505995166.7406745,557,0.8125
1505995167.012516,559,0.96875
1505995167.2773368,561,0.828125
1505995167.4092267,562,0.796875
1505995167.8084595,565,0.953125
1505995167.9428706,566,0.859375
1505995168.0751946,567,0.859375
1505995168.341547,569,0.890625
1505995169.6279612,571,0.8125
1505995169.8922393,573,0.59375
1505995170.1576083,575,0.890625
1505995170.2959998,576,0.84375
1505995170.7032697,579,0.796875
1505995170.971306,581,0.84375
1505995171.1046681,582,0.875
1505995171.2407155,583,0.90625
1505995171.315943,584,0.875
1505995171.3888783,585,0.84375
1505995171.522641,586,0.8125
1505995171.7894537,588,0.875
1505995171.922318,589,0.828125
1505995172.590548,594,0.921875
1505995172.72436,595,0.796875
1505995172.9945543,597,0.96875
1505995173.1279752,598,0.78125
1505995173.2615006,599,0.828125
1505995173.3935432,600,0.828125
1505995173.6584475,602,0.921875
1505995173.9251044,604,0.921875
1505995174.1925375,606,0.890625
1505995175.4667602,608,0.859375
1505995175.741671,610,0.859375
1505995176.008441,612,0.828125
1505995176.142415,613,0.890625
1505995176.2758315,614,0.9375
1505995176.674534,617,0.796875
1505995177.2094269,621,0.8125
1505995177.3433814,622,0.890625
1505995177.4948173,624,0.9375
1505995177.6267,625,0.890625
1505995177.8973372,627,0.890625
1505995178.441336,631,0.84375
1505995178.575731,632,0.828125
1505995178.843528,634,0.953125
1505995179.110949,636,0.890625
1505995180.0413244,643,0.875
1505995180.176711,644,0.890625
1505995181.449317,646,0.875
1505995181.5917456,647,0.890625
1505995181.7251382,648,0.921875
1505995181.860324,649,0.828125
1505995181.9924827,650,0.921875
1505995182.1267147,651,0.890625
1505995182.392443,653,0.953125
1505995182.5383797,654,0.90625
1505995183.064866,658,0.828125
1505995183.2062526,659,0.828125
1505995183.492091,661,0.828125
1505995183.6510272,663,0.90625
1505995184.072646,666,0.859375
1505995184.3448455,668,0.859375
1505995184.4752524,669,0.1875
1505995184.6135428,670,0.875
1505995185.0240934,673,0.8125
1505995185.157469,674,0.953125
1505995185.2928374,675,0.890625
1505995185.4231067,676,0.84375
1505995185.5578983,677,0.859375
1505995185.8277905,679,0.890625
1505995185.9595265,680,0.890625
1505995186.0930412,681,0.90625
1505995186.3609002,683,0.84375
1505995187.4998298,684,0.84375
1505995187.6442332,685,0.859375
1505995187.7761438,686,0.828125
1505995187.9105465,687,0.765625
1505995188.042601,688,0.84375
1505995188.3088508,690,0.828125
1505995188.4411445,691,0.859375
1505995188.8425941,694,0.9375
1505995189.374103,698,0.90625
1505995189.7160432,701,0.84375
1505995189.789137,702,0.875
